"","year","months","state","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct"
"1",2015,"January-March","Alabama",7000,7000,1800,26,2800,250,4
"2",2015,"January-March","Arizona",35000,35000,4600,13,3400,2100,6
"3",2015,"January-March","Arkansas",13000,14000,1500,11,1200,90,1
"4",2015,"January-March","California",1440000,1690000,255000,15,250000,124000,7
"5",2015,"January-March","Colorado",3500,12500,1500,12,200,140,1
"6",2015,"January-March","Connecticut",3900,3900,870,22,290,NA,NA
"7",2015,"January-March","Florida",305000,315000,42000,13,54000,25000,8
"8",2015,"January-March","Georgia",104000,105000,14500,14,47000,9500,9
"9",2015,"January-March","Hawaii",10500,10500,380,4,3400,760,7
"10",2015,"January-March","Idaho",81000,88000,3700,4,2600,8000,9
"11",2015,"January-March","Illinois",6000,10500,4200,40,2300,390,4
"12",2015,"January-March","Indiana",9000,9500,2100,22,490,120,1
"13",2015,"January-March","Iowa",12500,17500,3100,18,1700,270,2
"14",2015,"January-March","Kansas",4600,7000,1600,23,450,70,1
"15",2015,"January-March","Kentucky",7500,10500,4100,39,250,NA,NA
"16",2015,"January-March","Louisiana",51000,51000,8000,16,3100,6500,13
"17",2015,"January-March","Maine",3100,6500,380,6,20,NA,NA
"18",2015,"January-March","Maryland",7500,10000,4100,41,1600,870,9
"19",2015,"January-March","Massachusetts",2900,4600,1000,22,260,120,3
"20",2015,"January-March","Michigan",16500,60000,11500,19,7500,2400,4
"21",2015,"January-March","Minnesota",28000,74000,3700,5,690,530,1
"22",2015,"January-March","Mississippi",34000,76000,8500,11,22000,7500,10
"23",2015,"January-March","Missouri",12000,13000,2000,15,220,910,7
"24",2015,"January-March","Montana",8500,36000,2200,6,1400,1100,3
"25",2015,"January-March","Nebraska",10000,31000,2600,8,120,310,1
"26",2015,"January-March","New Jersey",6000,9000,1100,12,570,1600,18
"27",2015,"January-March","New Mexico",7000,7000,690,10,190,600,9
"28",2015,"January-March","New York",27000,30000,6500,22,430,950,3
"29",2015,"January-March","North Carolina",24000,26000,7000,27,6000,690,3
"30",2015,"January-March","North Dakota",57000,120000,620,1,1800,530,NA
"31",2015,"January-March","Ohio",18000,22000,10500,48,5000,3300,15
"32",2015,"January-March","Oklahoma",9500,26000,6000,23,2600,260,1
"33",2015,"January-March","Oregon",77000,87000,6500,8,4300,2400,3
"34",2015,"January-March","Pennsylvania",14000,21000,6500,31,360,NA,NA
"35",2015,"January-March","South Carolina",17000,17500,2700,15,2700,1400,8
"36",2015,"January-March","South Dakota",50000,97000,4600,5,8500,2800,3
"37",2015,"January-March","Tennessee",9500,9500,2000,21,1000,190,2
"38",2015,"January-March","Texas",191000,250000,26000,10,82000,51000,20
"39",2015,"January-March","Utah",6000,24000,3300,14,2500,290,1
"40",2015,"January-March","Vermont",5500,5500,700,13,1200,20,NA
"41",2015,"January-March","Virginia",8000,9000,2500,28,800,460,5
"42",2015,"January-March","Washington",52000,105000,14000,13,13500,9000,9
"43",2015,"January-March","West Virginia",4700,6000,1800,30,570,60,1
"44",2015,"January-March","Wisconsin",16500,29000,8000,28,3100,2500,9
"45",2015,"January-March","Wyoming",5500,12000,2000,17,2000,1400,12
"46",2015,"January-March","Other States",3410,8990,2080,23,870,150,2
"47",2015,"January-March","United States",2824610,NA,500020,18,546980,270530,10
"48",2015,"April-June","Alabama",7500,7500,860,12,1900,680,9
"49",2015,"April-June","Arizona",33000,33000,5500,17,19500,7000,21
"50",2015,"April-June","Arkansas",13500,13500,1900,14,11500,5500,41
"51",2015,"April-June","California",1040000,1050000,104000,10,170000,285000,27
"52",2015,"April-June","Colorado",12000,25000,1900,8,6000,3500,14
"53",2015,"April-June","Connecticut",3000,3000,80,3,1100,150,5
"54",2015,"April-June","Florida",210000,215000,35000,16,44000,24000,11
"55",2015,"April-June","Georgia",114000,124000,23000,19,25000,19000,15
"56",2015,"April-June","Hawaii",13500,13500,120,1,1100,1200,9
"57",2015,"April-June","Idaho",62000,72000,6500,9,16500,10500,15
"58",2015,"April-June","Illinois",9500,9500,1300,14,6000,1500,16
